jp_name,en_name,type,description
会計月,accounting_month,DATETIME,会計月
カレンダー月,calendar_month,DATETIME,カレンダー月
伝票日付,slip_date,DATETIME,伝票日付
整理区分,classification_type,STRING,整理区分
伝票No.,slip_no,INT64,伝票No.
相手勘定科目コード,counterpart_account_code,INT64,相手勘定科目コード
相手勘定科目名,counterpart_account_name,STRING,相手勘定科目名
相手補助科目コード,counterpart_sub_account_code,STRING,相手補助科目コード
相手補助科目名,counterpart_sub_account_name,STRING,相手補助科目名
相手部門コード,counterpart_department_code,INT64,相手部門コード
相手部門名,counterpart_department_name,STRING,相手部門名
相手取引先コード,counterpart_customer_code,STRING,相手取引先コード
相手取引先名,counterpart_customer_name,STRING,相手取引先名
自勘定科目コード,own_account_code,INT64,自勘定科目コード
自勘定科目名,own_account_name,STRING,自勘定科目名
自補助科目コード,own_sub_account_code,STRING,自補助科目コード
自補助科目名,own_sub_account_name,STRING,自補助科目名
自部門コード,own_department_code,INT64,自部門コード
自部門名,own_department_name,STRING,自部門名
自取引先コード,own_customer_code,STRING,自取引先コード
自取引先名,own_customer_name,STRING,自取引先名
摘要,description,STRING,摘要
消費税区分コード,tax_category_code,INT64,消費税区分コード
消費税区分名,tax_category_name,STRING,消費税区分名
控除割合,deduction_rate,STRING,控除割合
消費税率種別,tax_rate_type,STRING,消費税率種別
消費税率,tax_rate,NUMERIC,消費税率
借方,debit,INT64,借方
貸方,credit,STRING,貸方
金額,amount,INT64,金額
残高,balance,INT64,残高