区分（大）,区分（小）,東京支店計,工事営業部計,佐々木（大成・鹿島他）,浅井（清水他）,小笠原（三井住友他）,高石（内装・リニューアル）,ガラス工事計,山本（改装）,硝子建材営業部計,硝子工事,ビルサッシ,硝子販売,サッシ販売,サッシ完成品,その他
売上高,前年実績,"553,650","411,170","56,916","97,392","141,262","9,184","304,754","106,416","142,480","28,124","10,467","14,600","5,298","63,541","20,450"
,本年目標,"404,707","267,997","40,580","49,280","40,465","10,850","141,175","126,822","136,710","24,000","13,700","18,800","5,050","47,910",27250
,本年実績,"428,029","296,282","23,518","69,641","56,946","13,956","164,061","132,221","131,747","17,537","7,945","23,888","6,323","43,397","32,657"
,前年比%,77.3,72.1,41.3,71.5,40.3,152,53.8,124.2,92.5,62.4,75.9,163.6,119.3,68.3,159.7
,目標比%,106,111,58,141,141,129,116,104,96,73,58,127,125,91,
売上総利益,前年実績,"63,680","36,654","4,174","9,432","11,270","3,360","28,236","8,418","27,026","5,432","2,355","2,880","1,259","10,686","4,414"
,本年目標,"75,121","46,008","5,559","6,105","17,680","3,600","32,944","13,064","29,113","5,760","2,835","3,105","2,080","8,955",6378
,本年実績,"74,799","48,067","1,882","7,402","19,559","4,340","33,183","14,884","26,732","4,923","1,751","3,766","2,254","6,612","7,426"
,前年比%,117.5,131.1,45.1,78.5,173.5,129.2,117.5,176.8,98.9,90.6,74.4,130.8,179,61.9,168.2
,目標比%,99.6,104.5,,33.9,121.2,110.6,120.6,100.7,113.9,91.8,85.5,61.8,121.3,108.4,73.8
売総利益率,前年実績,11.50%,8.90%,7.30%,9.70%,8.00%,36.60%,9.30%,7.90%,19.00%,19.30%,22.50%,19.70%,23.80%,16.80%,21.60%
,本年目標,18.60%,17.20%,13.70%,12.40%,43.70%,33.20%,23.30%,10.30%,21.30%,24.00%,20.70%,16.50%,41.20%,18.70%,23.40%
,本年実績,17.50%,16.20%,8.00%,10.60%,34.30%,31.10%,20.20%,11.30%,20.30%,28.10%,22.00%,15.80%,35.60%,15.20%,22.70%
,前年比%,151.9,182,109.1,109.7,430.5,85,218.3,142.3,107,145.3,98,79.9,150,90.6,105.4
,目標比%,94,95,58.4,85.8,78.6,94,87,109,95.3,117,106.5,95.5,86.5,81.5,
営業経費,前年実績,"43,151","25,690",,,,,"21,168","4,522","17,461",,,,,,
,本年目標,"44,203","25,619",,,,,"22,267","3,352","18,584",,,,,,
,本年実績,"44,982","25,947",,,,,"23,059","2,888","19,035",,,,,,
,前年比%,104.2,101,,,,,108.9,63.9,109,,,,,,
,目標比%,102,101,,,,,104,86,102,,,,,,
営業利益,前年実績,"20,529","10,964",,,,,"7,068","3,896","9,565",,,,,,
,本年目標,"30,918","20,389",,,,,"10,677","9,712","10,529",,,,,,
,本年実績,"29,817","22,120",,,,,"10,124","11,996","7,697",,,,,,
,前年比%,145.2,201.8,,,,,143.2,307.9,80.5,,,,,,
,目標比%,96.4,108.5,,,,,94.8,123.5,73.1,,,,,,
その他損益,営業外収入(リベート),370,317,,,,,317,0,53,,,,,,
,営業外収入(その他),0,0,,,,,0,0,0,,,,,,
,営業外費用（社内利息A・B）,"7,148","5,067",,,,,"4,598",469,"2,081",,,,,,
,本店管理費,"6,006","4,054",,,,,"3,264",790,"1,952",,,,,,
経常利益,本年目標,"18,652","12,075",,,,,"3,513","8,562","6,577",,,,,,
,本年実績,"17,033","13,316",,,,,"2,579","10,737","3,717",,,,,,
,本年累計目標,"18,652","12,075",,,,,"3,513","8,562","6,577",,,,,,
,本年累計実績,"17,033","13,316",,,,,"2,579","10,737","3,717",,,,,,